account_id,personaname,name,team_id,team_name,team_tag,avg_kills,max_kills,avg_deaths,min_deaths,avg_assists,max_assists,avg_last_hits,max_last_hits,avg_xp_per_min,avg_gold_per_min,max_gold_per_min,unique_heroes
10366616,Sneyking,Sneyking,8291895,Tundra Esports,Tundra,3.0,6.0,5.611111111111111,2.0,15.333333333333334,29.0,76.77777777777777,151.0,473.94444444444446,322.8888888888889,412.0,8.0
16497807,tOfu,tOfu,8599101,Gaimin Gladiators,GG,2.8421052631578947,7.0,5.578947368421052,1.0,13.842105263157896,38.0,84.52631578947368,156.0,438.0,311.05263157894734,395.0,9.0
25907144,Let's Go,Cr1t-,39,Evil Geniuses,EG,3.75,12.0,5.55,0.0,14.25,23.0,51.2,126.0,441.65,293.0,376.0,10.0
38628747,Verissimus,MoonMeander,8260983,TSM FTX,TSM FTX,3.388888888888889,15.0,6.888888888888889,2.0,10.61111111111111,23.0,77.16666666666667,202.0,424.94444444444446,283.8888888888889,423.0,11.0
40547474,Aui_2000,Aui_2000,8291895,Tundra Esports ,Tundra,,,,,,,,,,,,
54580962,insania,iNsania,2163,Team Liquid,Liquid,3.1666666666666665,11.0,5.333333333333333,0.0,15.11111111111111,24.0,75.11111111111111,229.0,400.6111111111111,310.55555555555554,450.0,8.0
72312627,kimchi,MATUMBAMAN,2163,Team Liquid,Liquid,8.722222222222221,19.0,3.7222222222222223,0.0,10.88888888888889,22.0,358.6666666666667,1009.0,676.7777777777778,607.1666666666666,908.0,12.0
73562326,middus diffus,zai,2163,Team Liquid,Liquid,4.833333333333333,13.0,4.611111111111111,1.0,13.38888888888889,24.0,233.33333333333334,503.0,575.7222222222222,462.3888888888889,564.0,11.0
77490514,boxi,Boxi,2163,Team Liquid,Liquid,3.388888888888889,10.0,6.888888888888889,2.0,15.777777777777779,32.0,84.77777777777777,382.0,484.1111111111111,307.77777777777777,495.0,8.0
86698277,not human (животное),33,8291895,Tundra Esports,Tundra,6.277777777777778,14.0,3.2777777777777777,0.0,14.055555555555555,26.0,279.6111111111111,487.0,686.3888888888889,601.6666666666666,849.0,6.0
86725175,Benji,Resolut1on,1838315,Team Secret,Secret,5.7,16.0,3.55,0.0,11.15,33.0,243.05,417.0,643.1,533.25,647.0,11.0
86726887,it is what it is,MSS,7390454,Soniqs,SQ,2.8947368421052633,6.0,6.842105263157895,0.0,11.68421052631579,33.0,72.63157894736842,178.0,402.89473684210526,265.42105263157896,409.0,12.0
86745912,REAL_LIFE,天鸽,39,Evil Geniuses,EG,7.15,12.0,3.0,0.0,8.0,16.0,339.7,886.0,653.4,635.7,850.0,8.0
86799300,ʕง•ᴥ•ʔง ʕง•ᴥ•ʔง ʕง•ᴥ•ʔง,Fata,7390454,Soniqs,SQ,1.736842105263158,8.0,7.2631578947368425,3.0,10.68421052631579,23.0,97.3157894736842,205.0,394.7368421052632,299.36842105263156,474.0,12.0
87012746,offlane,kpii,8597976,Talon,TLN,3.4,10.0,4.9,0.0,11.0,23.0,225.65,394.0,516.8,436.95,710.0,12.0
87063175,loot lendário,LESLÃO,7390454,Soniqs,SQ,4.578947368421052,13.0,3.8947368421052633,0.0,9.263157894736842,21.0,240.68421052631578,495.0,535.7894736842105,444.8421052631579,612.0,13.0
87278757,Puppey,Puppey,1838315,Team Secret,Secret,2.35,11.0,4.85,0.0,14.2,28.0,94.1,231.0,429.15,319.7,494.0,8.0
88933594,forev,Forev,8597976,Talon,TLN,,,,,,,,,,,,
89423756,随感录三十八,LaNm,6209166,Team Aster,Aster,,,,,,,,,,,,
89871557,0,Mushi,7732977,BOOM Esports,BOOM,,,,,,,,,,,,
90125566,misha,Misha,2586976,OG,OG,2.2222222222222223,8.0,8.166666666666666,3.0,13.444444444444445,21.0,41.72222222222222,106.0,366.55555555555554,254.33333333333334,365.0,11.0
90882159,不打辅助,Super,6209804,Royal Never Give Up,RNG,,,,,,,,,,,,
91730177,Seleri,Seleri,8599101,Gaimin Gladiators,GG,3.0,15.0,6.157894736842105,2.0,12.631578947368421,24.0,86.52631578947368,224.0,414.89473684210526,309.3157894736842,479.0,9.0
93618577,help,bzm,2586976,OG,OG,6.277777777777778,12.0,3.9444444444444446,1.0,11.38888888888889,23.0,296.27777777777777,563.0,688.3333333333334,547.1666666666666,810.0,10.0
94155156,immoturië,Fly,39,Evil Geniuses,EG,2.85,12.0,4.75,0.0,14.7,25.0,54.95,142.0,395.95,286.75,415.0,8.0
94296097,ded,xNova,6209804,Royal Never Give Up,RNG,2.0555555555555554,6.0,6.777777777777778,1.0,14.277777777777779,31.0,52.94444444444444,164.0,364.1111111111111,287.3333333333333,363.0,10.0
94738847,@@,Chalice,6209804,Royal Never Give Up,RNG,3.388888888888889,8.0,4.444444444444445,0.0,14.333333333333334,29.0,233.05555555555554,479.0,569.2222222222222,436.44444444444446,560.0,14.0
94786276,Serafina,Nine,8291895,Tundra Esports,Tundra,6.888888888888889,13.0,3.7777777777777777,0.0,11.944444444444445,22.0,248.55555555555554,417.0,691.0555555555555,536.7777777777778,665.0,10.0
96803083,Stormstormer,Stormstormer,8605863,Entity,Entity,5.238095238095238,17.0,3.761904761904762,0.0,9.80952380952381,27.0,351.8095238095238,952.0,677.2857142857143,597.7142857142857,906.0,9.0
97590558,Ace,Ace,8599101,Gaimin Gladiators,GG,4.0,12.0,5.473684210526316,1.0,12.789473684210526,32.0,247.3684210526316,386.0,573.1052631578947,475.8421052631579,628.0,7.0
97658618,"混蛋-..,。",Timado,8260983,TSM FTX,TSM FTX,5.5,12.0,3.8333333333333335,0.0,6.277777777777778,20.0,342.3333333333333,657.0,632.4444444444445,575.8888888888889,922.0,12.0
100058342,Double Daun Expert,skiter,8291895,Tundra Esports,Tundra,9.055555555555555,16.0,2.2222222222222223,0.0,9.222222222222221,17.0,406.8888888888889,856.0,681.2777777777778,687.3333333333334,988.0,8.0
100471531,novacane,J,350190,Fnatic,Fnatic,4.842105263157895,14.0,5.842105263157895,2.0,13.210526315789474,26.0,247.3684210526316,365.0,606.3684210526316,474.7368421052632,610.0,11.0
100594231,passion,skem,7732977,BOOM Esports,BOOM,2.238095238095238,7.0,4.476190476190476,0.0,12.523809523809524,29.0,50.142857142857146,183.0,345.5238095238095,268.7142857142857,396.0,9.0
102099826,dj,DJ,350190,Fnatic,Fnatic,4.2631578947368425,13.0,6.105263157894737,0.0,14.736842105263158,34.0,98.94736842105263,427.0,499.4736842105263,319.63157894736844,618.0,7.0
103735745,Jichan,Saksa,8291895,Tundra Esports,Tundra,2.9444444444444446,7.0,5.444444444444445,2.0,16.88888888888889,27.0,97.38888888888889,209.0,488.1111111111111,335.72222222222223,428.0,8.0
105045291,´pos 4 pls pls pls,Thiolicor,8131728,Hokori,Hokori,2.210526315789474,6.0,7.631578947368421,2.0,12.526315789473685,31.0,78.89473684210526,167.0,397.8421052631579,283.57894736842104,402.0,11.0
106305042,wellwell,Larl,8721219,BetBoom Team,BetBoom,8.631578947368421,20.0,4.526315789473684,0.0,11.31578947368421,31.0,347.89473684210526,504.0,674.6315789473684,589.6315789473684,764.0,6.0
106863163,Spirit,Somnus,6209804,Royal Never Give Up,RNG,8.833333333333334,22.0,3.9444444444444446,1.0,9.222222222222221,15.0,363.1666666666667,941.0,663.8888888888889,600.9444444444445,846.0,10.0
